Country,Code,Continent_region,Year,Alochol_use,Smoking,Drug_use,Population,Total_Death_Rate,per/100k
Sudan,SDN,Africa,2019,494,16147,2167,43232093,220694,510.4865036
Suriname,SUR,South America,2019,214,451,14,600301,4240,706.3123333
Sweden,SWE,Europe,2019,4340,13692,734,10278887,73216,712.2950179
Switzerland,CHE,Europe,2019,3938,10216,618,8575280,53783,627.1865175
Tajikistan,TJK,Asia,2019,1732,4634,436,9337003,58568,627.2676575
Tanzania,TZA,Africa,2019,19290,17914,2019,59872579,243035,405.9203797
Thailand,THA,Asia,2019,39223,62859,10674,71307763,430315,603.4616455
Togo,TGO,Africa,2019,1568,2292,146,8243094,37193,451.2019395
Tonga,TON,Oceania,2019,9,100,8,104951,735,700.3268192
Trinidad and Tobago,TTO,North America,2019,399,1028,30,1519955,14279,939.435707
Tunisia,TUN,Africa,2019,723,10859,393,12049314,85516,709.7167523
Turkmenistan,TKM,Asia,2019,2349,4044,545,6158420,46117,748.8446712
Tuvalu,TUV,Oceania,2019,1,17,1,10956,124,1131.799927
Uganda,UGA,Africa,2019,15356,6273,141,42949080,136163,317.0335663
Ukraine,UKR,Europe,2019,44744,113389,9361,44386203,856572,1929.815893
United Arab Emirates,ARE,Asia,2019,553,3726,1008,9211657,34788,377.6519252
United Kingdom,GBR,Europe,2019,25242,119777,5014,66836327,481831,720.9118478
United States,USA,North America,2019,136663,527736,104736,328329953,2549358,776.4622072
Uruguay,URY,South America,2019,1689,4864,243,3428409,25129,732.9638908
Uzbekistan,UZB,Asia,2019,9562,22193,3042,33580350,290223,864.2643689
Vanuatu,VUT,Oceania,2019,46,247,17,304404,2975,977.3196147
Vietnam,VNM,Asia,2019,52984,97074,9605,95776716,706638,737.7972742
Zambia,ZMB,Africa,2019,6870,4673,394,18380477,72280,393.243331
Zimbabwe,ZWE,Africa,2019,5156,8838,963,15354608,81732,532.2962332
