Country,Code,Continent Region,Year,High.systolic.blood.pressure,Diet.high.in.sodium,High.fasting.plasma.glucose,Population,Total_Death_Rate,per/100k
Togo,TGO,Africa,2019,5729,503,2394,8243094,37193,451.2019395
Tonga,TON,Oceania,2019,116,20,159,104951,735,700.3268192
Trinidad and Tobago,TTO,North America,2019,2697,209,3448,1519955,14279,939.435707
Tunisia,TUN,Africa,2019,19680,692,14656,12049314,85516,709.7167523
Turkmenistan,TKM,Asia,2019,11339,1354,4701,6158420,46117,748.8446712
Tuvalu,TUV,Oceania,2019,25,4,28,10956,124,1131.799927
Uganda,UGA,Africa,2019,18453,2932,12290,42949080,136163,317.0335663
Ukraine,UKR,Europe,2019,237926,13637,70344,44386203,856572,1929.815893
United Arab Emirates,ARE,Asia,2019,5983,293,4276,9211657,34788,377.6519252
United Kingdom,GBR,Europe,2019,87762,6668,75454,66836327,481831,720.9118478
United States,USA,North America,2019,495201,48501,439379,328329953,2549358,776.4622072
Uruguay,URY,South America,2019,5527,751,3283,3428409,25129,732.9638908
Uzbekistan,UZB,Asia,2019,62465,7416,41043,33580350,290223,864.2643689
Vanuatu,VUT,Oceania,2019,596,86,432,304404,2975,977.3196147
Vietnam,VNM,Asia,2019,158375,32155,106478,95776716,706638,737.7972742
Zambia,ZMB,Africa,2019,10340,1828,6353,18380477,72280,393.243331
Zimbabwe,ZWE,Africa,2019,12241,1140,9797,15354608,81732,532.2962332
