"Country","Code","Continent.region","Year","Population","Total.Death.Rate","Average.death.rate","Factor","Death_rate","normalised death rate"
"Cambodia","KHM","Asia",2019,16207746,113008,39.4873,"Diet low in whole grains",1319,0.00343957150084229
"Cambodia","KHM","Asia",2019,16207746,113008,39.4873,"Diet low in fruits",2836,0.0073954698835396
"Cambodia","KHM","Asia",2019,16207746,113008,39.4873,"Diet low in nuts and seeds",166,0.000432880113070372
"Cambodia","KHM","Asia",2019,16207746,113008,39.4873,"Diet low in vegetables",2079,0.00542143225947773
"Cameroon","CMR","Africa",2019,25782341,128405,16.3717,"Diet low in whole grains",1989,0.0051867382222709
"Cameroon","CMR","Africa",2019,25782341,128405,16.3717,"Diet low in fruits",1203,0.00313707696399793
"Cameroon","CMR","Africa",2019,25782341,128405,16.3717,"Diet low in nuts and seeds",34,8.86621918336906e-05
"Cameroon","CMR","Africa",2019,25782341,128405,16.3717,"Diet low in vegetables",995,0.00259467296689771
"Canada","CAN","North America",2019,37601230,212170,41.0093,"Diet low in whole grains",9228,0.0240639619482734
"Canada","CAN","North America",2019,37601230,212170,41.0093,"Diet low in fruits",3645,0.00950510850687654
"Canada","CAN","North America",2019,37601230,212170,41.0093,"Diet low in nuts and seeds",296,0.000771882611258012
"Canada","CAN","North America",2019,37601230,212170,41.0093,"Diet low in vegetables",2251,0.00586995864169522
"Central African Republic","CAF","Africa",2019,5209324,40797,33.1713,"Diet low in whole grains",554,0.00144467218458425
"Central African Republic","CAF","Africa",2019,5209324,40797,33.1713,"Diet low in fruits",591,0.0015411575109915
"Central African Republic","CAF","Africa",2019,5209324,40797,33.1713,"Diet low in nuts and seeds",13,3.3900249818764e-05
"Central African Republic","CAF","Africa",2019,5209324,40797,33.1713,"Diet low in vegetables",570,0.00148639556897658
"Chad","TCD","Africa",2019,16126866,102015,25.8017,"Diet low in whole grains",1615,0.0042114541121003
"Chad","TCD","Africa",2019,16126866,102015,25.8017,"Diet low in fruits",1363,0.00355431080792118
"Chad","TCD","Africa",2019,16126866,102015,25.8017,"Diet low in nuts and seeds",165,0.000430272401545851
"Chad","TCD","Africa",2019,16126866,102015,25.8017,"Diet low in vegetables",1018,0.00265465033196168
"Chile","CHL","South America",2019,19039485,98543,32.3276,"Diet low in whole grains",3143,0.00819603732156734
"Chile","CHL","South America",2019,19039485,98543,32.3276,"Diet low in fruits",1389,0.00362211130755871
"Chile","CHL","South America",2019,19039485,98543,32.3276,"Diet low in nuts and seeds",984,0.00256598814012799
"Chile","CHL","South America",2019,19039485,98543,32.3276,"Diet low in vegetables",639,0.00166632766416848
"China","CHN","Asia",2019,1407745000,13409833,50.905,"Diet low in whole grains",383478,1
"China","CHN","Asia",2019,1407745000,13409833,50.905,"Diet low in fruits",231120,0.602694287547134
"China","CHN","Asia",2019,1407745000,13409833,50.905,"Diet low in nuts and seeds",86309,0.225068973969824
"China","CHN","Asia",2019,1407745000,13409833,50.905,"Diet low in vegetables",15706,0.040956717204116
